2026-06-23T17:39:53.663Z | GET | /api/auth/me | 401 | 38ms
2026-06-23T17:39:54.095Z | POST | /api/auth/logout | 401 | 8ms
2026-06-23T17:40:11.573Z | POST | /api/auth/login | 200 | 470ms
2026-06-23T17:45:00.773Z | GET | /api/auth/me | 401 | 18ms
2026-06-23T17:45:01.471Z | POST | /api/auth/logout | 200 | 29ms
2026-06-23T17:45:10.990Z | GET | /api/auth/me | 401 | 6ms
2026-06-23T17:45:11.017Z | POST | /api/auth/logout | 401 | 4ms
2026-06-23T17:45:16.118Z | GET | /api/auth/me | 401 | 5ms
2026-06-23T17:45:16.160Z | POST | /api/auth/logout | 401 | 7ms
2026-06-23T17:49:00.075Z | GET | /api/auth/me | 401 | 7ms
2026-06-23T17:49:00.118Z | POST | /api/auth/logout | 401 | 5ms
2026-06-23T17:50:26.959Z | GET | /api/auth/me | 401 | 6ms
2026-06-23T17:50:26.971Z | GET | /api/auth/me | 401 | 4ms
2026-06-23T17:50:31.473Z | GET | /api/auth/me | 401 | 4ms
2026-06-23T17:50:33.286Z | GET | /api/auth/me | 401 | 4ms
2026-06-23T17:50:41.473Z | GET | /api/auth/me | 401 | 5ms
2026-06-23T17:50:45.795Z | GET | /api/auth/me | 401 | 3ms
2026-06-23T17:50:47.779Z | GET | /api/auth/me | 401 | 3ms
2026-06-23T17:51:15.122Z | GET | /api/auth/me | 401 | 49ms
2026-06-23T17:51:53.188Z | GET | /api/auth/me | 401 | 7ms
2026-06-23T18:10:10.504Z | GET | /api/auth/me | 401 | 63ms
2026-06-24T06:09:33.500Z | GET | /api/auth/me | 401 | 25ms
2026-06-24T06:09:58.013Z | POST | /api/auth/login | 401 | 414ms
2026-06-24T06:10:02.912Z | POST | /api/auth/login | 200 | 143ms
2026-06-24T06:10:13.869Z | GET | /api/auth/me | 304 | 5ms
2026-06-24T06:10:16.818Z | GET | /api/auth/me | 304 | 6ms
2026-06-24T06:10:49.016Z | GET | /api/auth/me | 304 | 3ms
2026-06-24T06:11:03.750Z | GET | /api/auth/me | 304 | 4ms
2026-06-24T06:11:07.136Z | GET | /api/auth/me | 304 | 4ms
2026-06-24T06:11:11.363Z | GET | /api/auth/me | 304 | 3ms
2026-06-24T06:11:44.702Z | GET | /api/auth/me | 304 | 5ms
2026-06-24T06:12:04.613Z | GET | /api/auth/me | 401 | 3ms
2026-06-24T06:20:25.016Z | GET | /api/auth/me | 401 | 6ms
2026-06-24T06:20:44.967Z | POST | /api/auth/register | 400 | 4ms
2026-06-24T06:20:59.852Z | POST | /api/auth/register | 409 | 10ms
2026-06-24T06:47:26.052Z | GET | /api/auth/me | 401 | 9ms
2026-06-24T06:48:00.400Z | POST | /api/auth/register | 201 | 203ms
2026-06-24T06:57:48.956Z | POST | /api/auth/register | 409 | 88ms
2026-06-24T06:57:55.872Z | POST | /api/auth/register | 400 | 4ms
2026-06-24T06:58:16.008Z | POST | /api/auth/register | 400 | 3ms
2026-06-24T06:58:21.575Z | POST | /api/auth/register | 400 | 2ms
2026-06-24T06:58:26.404Z | POST | /api/auth/register | 400 | 18ms
2026-06-24T06:58:30.915Z | POST | /api/auth/register | 400 | 11ms
2026-06-24T06:58:35.783Z | POST | /api/auth/register | 201 | 179ms
2026-06-24T06:58:51.452Z | POST | /api/auth/register | 409 | 16ms
2026-06-24T06:59:02.448Z | POST | /api/auth/register | 400 | 2ms
2026-06-24T07:01:11.594Z | POST | /api/auth/register | 400 | 2ms
2026-06-24T07:01:15.053Z | POST | /api/auth/register | 201 | 75ms
